BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
4.482671,1.816177,1,0.4649287,4,3.288878,2,1.186887,0,9.159056,1
4.482671,1.816177,1,0.4649287,4,3.288878,2,1.186887,0,9.159056,0
4.482671,1.816177,1,0.4649287,4,3.288878,2,1.186887,0,9.159056,0
3.916754,1.540434,3,0.2843602,0,1.591059,0,1.095416,0,10.17643,0
4.979569,1.383266,3,0.4456801,4,1.686967,0,0.8971,0,9.158922,1
4.979569,1.383266,3,0.4456801,4,1.686967,0,0.8971,0,9.158922,1
4.979569,1.383266,3,0.4456801,4,1.686967,0,0.8971,0,9.158922,1
5.938802,2.394278,1,0.3194262,0,3.541991,0,1.148041,1,8.826534,0
5.103552,2.177468,1,0.4563022,2,3.145689,2,0.9225908,0,10.92054,1
4.117117,1.640456,3,0.5138431,0,3.623761,2,1.00664,0,8.187415,0
4.117117,1.640456,3,0.5138431,0,3.623761,2,1.00664,0,8.187415,1
4.117117,1.640456,3,0.5138431,0,3.623761,2,1.00664,0,8.187415,0
4.81973,1.714919,3,0.3913681,1,2.15541,1,1.034487,0,9.575443,1
4.81973,1.714919,3,0.3913681,1,2.15541,1,1.034487,0,9.575443,1
4.81973,1.714919,3,0.3913681,1,2.15541,1,1.034487,0,9.575443,1
4.772738,2.088486,1,0.5306998,2,2.405619,0,0.7111958,0,10.56746,1
4.031123,2.163031,1,0.2758915,1,3.747086,0,1.018523,0,9.807032,1
4.422266,1.926586,1,0.2339962,3,2.514672,2,0.851245,0,10.32489,1
3.850129,1.430341,2,0.4553518,1,3.039564,2,1.19782,0,9.834774,1
5.624894,1.658514,1,0.2908617,1,3.042378,0,0.7844015,0,9.299669,1
5.292313,1.768345,2,0.3905594,4,1.938666,2,1.060703,0,11.47143,0
5.292313,1.768345,2,0.3905594,4,1.938666,2,1.060703,0,11.47143,1
6.064242,1.792701,2,0.4429914,0,3.562854,2,1.060237,0,10.20164,0
6.064242,1.792701,2,0.4429914,0,3.562854,2,1.060237,0,10.20164,0
3.925538,1.891478,2,0.2906879,4,1.704443,0,0.802472,0,10.18906,0
4.960338,1.320092,3,0.5827843,2,2.761146,1,0.8302788,0,8.80361,0
4.960338,1.320092,3,0.5827843,2,2.761146,1,0.8302788,0,8.80361,0
3.652238,1.37608,3,0.2406128,4,2.228245,1,0.9137413,0,8.343342,0
5.783204,1.603219,1,0.4064927,2,2.796034,0,1.081681,0,10.64344,0
4.203511,1.37501,1,0.3122494,2,3.013277,2,0.744678,0,8.05075,1
4.126837,2.49267,3,0.5763298,2,2.908237,0,0.9367018,1,8.897671,0
4.287945,1.558499,2,0.5202621,2,2.417192,0,0.8919389,0,11.32521,1
4.615621,2.006542,2,0.5493508,4,3.719615,2,0.9261924,1,10.27652,1
4.615621,2.006542,2,0.5493508,4,3.719615,2,0.9261924,1,10.27652,0
4.615621,2.006542,2,0.5493508,4,3.719615,2,0.9261924,1,10.27652,0
5.690825,1.840454,2,0.247461,1,1.916549,1,0.8599961,0,10.19347,0
5.371542,1.485328,1,0.2810504,1,3.574961,2,1.092493,1,8.842975,0
5.307578,1.577079,1,0.2034721,3,3.210813,2,0.890098,0,9.043605,0
3.957815,1.393459,2,0.5094933,2,3.812984,0,0.9041888,1,8.205109,0
4.522619,2.17575,3,0.4186317,4,2.964216,1,0.7197636,1,8.315702,0
4.522619,2.17575,3,0.4186317,4,2.964216,1,0.7197636,1,8.315702,1
4.522619,2.17575,3,0.4186317,4,2.964216,1,0.7197636,1,8.315702,0
4.282781,1.21253,3,0.5134326,2,3.867831,0,0.7527989,0,9.75983,1
4.282781,1.21253,3,0.5134326,2,3.867831,0,0.7527989,0,9.75983,1
4.297937,2.326118,2,0.4163453,0,3.15311,2,1.198492,1,11.3218,1
4.297937,2.326118,2,0.4163453,0,3.15311,2,1.198492,1,11.3218,0
